Activity Name ,Location ,STATUS,Description,Meals Included,Price IDR per pax ,Price IDR per pax with margin ,Google Map starting point ,Contact details 
Diving Liberty Wreck - Certified Diver (Open Water or Advance),Amed ,READY,"You start your morning with the ocean just a few steps away. After a relaxed briefing, you gear up and walk straight into the sea. The first dive take you to coral gardens and quiet underwater walls and the second one to the wreck covered in marine life. The visibility is clear, the current is gentle, and the world below moves slowly. Schools of fish, soft coral, and moments of stillness stay with you long after you surface.",,"Rp855,000","Rp1,600,000",https://maps.app.goo.gl/v6y9C8whsxd83b49A,Fab : +6281239393738
Diving Liberty Wreck - Introductory Dive ,Amed ,READY,"You begin with a calm introduction by the beach. Breathing, balance, and safety are gently explained. Then, with your instructor by your side for the first dive take you to coral gardens and quiet underwater walls and the second one to the wreck covered in marine life. The visibility is clear, the current is gentle, and the world below moves slowly. Schools of fish, soft coral, and moments of stillness stay with you long after you surface.",,"Rp1,260,000","Rp1,900,000",https://maps.app.goo.gl/v6y9C8whsxd83b49A,Fab : +6281239393738
Free Day in Amed ,Amed ,READY,"Today is yours to enjoy at your own pace. Your driver is available to take you around Amed and beyond, depending on your mood. You might start with a slow morning walk along the volcanic beaches, watching fishermen return with their catch. Later, your driver can take you to a quiet café, explore the peaceful gardens of Taman Ujung Palace, or bring you to Virgin Beach for a relaxing swim where white and black sands meet.",,"Rp1,500,000","Rp2,100,000",,
Coral Reef Conservation Snorkeling,Candidasa ,READY,"Today is dedicated to the ocean. While one of you takes part in a guided coral reef conservation experience, the other explores deeper with a custom dive session. Led by eco-conscious guides, you learn about reef restoration, encounter vibrant marine life, and float in crystal-clear waters. It's an inspiring, hands-on way to connect with Bali’s underwater world.",Lunch ,"Rp600,000","Rp1,200,000",https://maps.app.goo.gl/T8nYmnxy4RAdepL76,Living Seas : +62 821-4745-0770
Coral Reef Conservation Diving - Introductory Dive ,Candidasa ,ONGOING,,,,,,
Coral Reef Conservation Diving - Certified Diver (Open Water or Advance),Candidasa ,ONGOING,,,,,,
Free Day in East Bali ,Candidasa ,READY,"This morning, your driver is available to take you wherever you feel like exploring. You can start with Taman Ujung Palace, a peaceful mix of Balinese and European architecture surrounded by mountains and ocean. From there, wander through the pools and sacred fountains of Tirta Gangga. If you prefer something slower, your driver can bring you to Virgin Beach where white and black sand meet and you can simply relax by the sea.",,"Rp1,500,000","Rp2,100,000",,
Free Day in Canggu ,Canggu ,READY,"A free day dedicated to relaxation at your villa by the pool. You may also choose to explore Canggu or try out one of the local spots in town. In the afternoon, you can also enjoy the benefits of a Balinese massage. Meals are at your leisure. Your driver is available to take you back to your accommodation and then to a restaurant in the city center for dinner in the evening.",,"Rp950,000","Rp1,500,000",,
Surf in Canggu ,Canggu ,READY,"This morning, you meet Adhy and his team, a local surfer from Canggu. He takes you to a quiet spot on the beach where the waves are gentle and where you can have your surf lessob. It’s just the two of you : no big groups, no rush. He helps you catch your waves and shows you how to move with the ocean. A simple, fun morning, guided by someone who really knows the sea.",,"Rp350,000","Rp800,000",https://maps.app.goo.gl/TRzr4r6eKfBvpwmv8,Adhy : +62 822-3463-7391
Boat Snorkeling on the Gili islands ,Gili Trawangan ,ONGOING,,,,,,
